               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.067717,            0.028689,            0.019355,            0.065486,                 0.2,            0.052838,           0.0089858,             0.02526,            0.012892,           0.0091798,             0.00036,             0.00036,             0.09676
                   1,            0.042347,            0.026468,            0.018309,             0.23626,             0.59983,             0.32136,             0.11443,            0.016335,           0.0096372,           0.0095001,          0.00072984,          0.00072984,             0.09343
                   2,            0.031814,            0.023491,             0.01781,             0.38674,             0.74458,             0.48562,             0.26244,            0.012354,           0.0093305,           0.0089449,            0.001099,            0.001099,            0.090099
                   3,            0.025261,            0.018416,            0.017499,             0.44473,             0.93802,             0.56977,             0.48608,            0.010991,           0.0062748,           0.0086822,           0.0014671,           0.0014671,            0.086767
                   4,            0.028545,            0.014971,            0.018524,              0.4742,             0.82512,             0.53675,             0.16188,            0.014591,           0.0050988,           0.0091379,           0.0018335,           0.0018335,            0.083433
                   5,            0.027748,            0.013686,             0.01889,             0.56245,             0.78473,             0.60847,             0.52668,           0.0091204,           0.0051167,           0.0087862,           0.0021978,           0.0021978,            0.080098
                   6,             0.02411,            0.012922,            0.017375,             0.59451,             0.89442,             0.62068,             0.53145,           0.0067921,           0.0038571,           0.0084348,           0.0025594,           0.0025594,            0.076759
                   7,             0.02309,            0.011865,            0.017487,              0.5167,             0.94093,             0.60056,             0.54947,           0.0090828,           0.0033977,           0.0085052,            0.002918,            0.002918,            0.073418
                   8,            0.021182,            0.010992,            0.017622,             0.50503,                   1,              0.5654,             0.53986,           0.0052583,           0.0026631,           0.0086927,           0.0032731,           0.0032731,            0.070073
                   9,             0.01928,            0.010464,            0.017323,              0.4795,             0.93629,             0.55783,             0.41868,            0.012116,           0.0030624,           0.0087288,           0.0036241,           0.0036241,            0.066724
                  10,            0.018432,           0.0094117,            0.017335,             0.52064,             0.93675,             0.62531,             0.62213,              0.0115,           0.0023271,           0.0085105,           0.0039706,           0.0039706,            0.063371
                  11,            0.018888,           0.0091911,            0.017044,             0.53882,             0.93695,             0.64267,             0.47233,           0.0084051,           0.0019066,           0.0081439,           0.0043121,           0.0043121,            0.060012
                  12,            0.016252,           0.0087334,            0.016901,             0.57243,             0.92961,             0.61167,             0.60769,            0.010971,           0.0018265,           0.0082713,           0.0046483,           0.0046483,            0.056648
                  13,            0.019385,           0.0087922,            0.016691,             0.54892,             0.91675,             0.64346,             0.38169,            0.012523,           0.0017177,            0.008154,           0.0049787,           0.0049787,            0.053279
                  14,            0.018421,           0.0088037,            0.016129,             0.59476,             0.91379,             0.68332,             0.68049,            0.012352,           0.0016189,           0.0079049,           0.0053027,           0.0053027,            0.049903
                  15,            0.019123,           0.0081067,            0.016418,              0.5778,             0.95419,              0.7065,             0.55314,           0.0086313,           0.0018086,           0.0077115,           0.0056201,           0.0056201,             0.04652
                  16,            0.018319,           0.0083933,            0.017056,             0.68663,             0.87931,             0.76679,             0.76679,           0.0089252,           0.0014779,           0.0074274,           0.0059304,           0.0059304,             0.04313
                  17,            0.017569,           0.0082329,            0.015545,             0.61203,             0.91287,             0.81972,              0.5338,           0.0088578,           0.0017886,           0.0076337,           0.0062333,           0.0062333,            0.039733
                  18,            0.017734,           0.0082933,            0.016016,             0.64862,             0.89655,             0.84131,             0.76739,           0.0028423,           0.0015121,           0.0064192,           0.0065282,           0.0065282,            0.036328
