file_name,COVID
0.png,0
1.png,0
2.png,0
3.png,1
4.png,0
5.png,1
6.png,0
7.png,1
8.png,0
9.png,1
10.png,0
11.png,1
12.png,0
13.png,1
14.png,0
15.png,0
16.png,0
17.png,0
18.png,0
19.png,1
20.png,0
21.png,0
22.png,0
23.png,1
24.png,0
25.png,1
26.png,0
27.png,1
28.png,1
29.png,1
30.png,1
31.png,1
32.png,1
33.png,0
34.png,0
35.png,1
36.png,0
37.png,1
38.png,1
39.png,0
40.png,1
41.png,0
42.png,0
43.png,1
44.png,0
45.png,1
46.png,1
47.png,0
48.png,0
49.png,1
50.png,0
51.png,1
52.png,0
53.png,0
54.png,1
55.png,1
56.png,0
57.png,0
58.png,0
59.png,1
60.png,1
61.png,0
62.png,0
63.png,0
64.png,1
65.png,0
66.png,1
67.png,0
68.png,0
69.png,0
70.png,0
71.png,0
72.png,1
73.png,0
74.png,1
75.png,0
76.png,0
77.png,0
78.png,1
79.png,1
80.png,1
81.png,0
82.png,1
83.png,1
84.png,1
85.png,1
86.png,0
87.png,1
88.png,0
89.png,0
90.png,0
91.png,0
92.png,1
93.png,1
94.png,0
95.png,0
96.png,1
97.png,1
98.png,0
99.png,1
